https://fragalysis.diamond.ac.uk/viewer/react/projects/1865/568,,,,,,,,,,,,,,,,,,
smiles,SLURM_JOB_ID,fragmenstein_runtime,score_inspiration,HIPPO Pose ID,HIPPO Compound ID,_id,csv_name,scratch_subdir,fragmenstein_outcome,fragmenstein_mode,fragmenstein_error,original ID,name,compound_set,inspiration_1,inspiration_2,green,green-text
CN(Cc1ccc2c(c1)OCO2)S(=O)(=O)Cc1ccon1,350567,2.157441,0.654058,4456,2096,6473,D68EV3C_iter1_knitwork_impure_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350567/C2096-P59,acceptable,expansion,None,NUKPEHAZTOWAPU-UHFFFAOYSA-N,v100a,36,7gp9-a,7goy-a,true,green
O[C@@H](CNCc1ccon1)COCc1ccc2c(c1)OCO2,350563,1.89046,0.714289,1622,2134,6475,D68EV3C_iter1_knitwork_pure_split1000_batch002.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350563/C2134-P59,acceptable,expansion,None,HJCSXYYFDUKRNW-ZDUSSCGKSA-N,v102a,36,7gp9-a,7goy-a,true,green
CN(CCc1ccc2c(c1)OCO2)S(=O)(=O)Cc1ccon1,350563,3.95967,0.549872,1664,2138,6476,D68EV3C_iter1_knitwork_pure_split1000_batch002.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350563/C2138-P59,acceptable,expansion,None,QMOJJRQLKNWOJS-UHFFFAOYSA-N,v103a,36,7gp9-a,7goy-a,true,green
C[C@@H](CNC(=O)c1ccc2ccn(C)c2c1)N1CCCCC1,350562,6.079965,0.48736,2259,5856,6477,D68EV3C_iter1_knitwork_pure_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350562/C5856-P40,acceptable,expansion,None,GWPDEXDIWDHEPZ-AWEZNQCLSA-N,v104a,36,7gok-a,7gp2-a,true,green
c1cc2ccc(CN(CCN3CCCCC3)[C@@H]3CCCNC3)cc2[nH]1,350562,5.083646,0.388665,2408,5867,6481,D68EV3C_iter1_knitwork_pure_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350562/C5867-P40,acceptable,expansion,None,LPQRCIWRAVBOJZ-HXUWFJFHSA-N,v108a,36,7gok-a,7gp2-a,true,green
O=C(N[C@H]1C[C@H](N2CCCCC2)C1)c1ccc2cc[nH]c2c1,350562,5.143575,0.468602,2430,5868,6482,D68EV3C_iter1_knitwork_pure_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350562/C5868-P40,acceptable,expansion,None,KQLYWQIIZPHKEG-WKILWMFISA-N,v109a,36,7gok-a,7gp2-a,true,green
CC(C)(CNC(=O)c1cc(-c2ccoc2)on1)N1CCCCC1,350564,5.856484,0.50851,2616,3209,6485,D68EV3C_iter1_knitwork_pure_split1000_batch003.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350564/C3209-P59,acceptable,expansion,None,SSIWEIZBDUFKPB-UHFFFAOYSA-N,v112a,36,7gp2-a,7goy-a,true,green
C[C@H](COC(=O)c1ccc2ccn(C)c2c1)N1CCCCC1,350562,6.166514,0.502008,2628,5906,6486,D68EV3C_iter1_knitwork_pure_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350562/C5906-P40,acceptable,expansion,None,QLLFKTQWEOSFEX-CQSZACIVSA-N,v113a,36,7gok-a,7gp2-a,true,green
C[C@@H](CNC(=O)C(=O)Nc1ccc2cc[nH]c2c1)N1CCCCC1,350562,8.72911,0.369545,2664,5911,6487,D68EV3C_iter1_knitwork_pure_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350562/C5911-P40,acceptable,expansion,None,CSNUJKFAWOWXAL-ZDUSSCGKSA-N,v114a,36,7gok-a,7gp2-a,true,green
c1ccc(-c2cc(CN3CCCCC3)on2)cc1,350564,2.342982,0.490771,2929,3251,6492,D68EV3C_iter1_knitwork_pure_split1000_batch003.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350564/C3251-P44,acceptable,expansion,None,IDNKMEIJFTWUEG-UHFFFAOYSA-N,v119a,36,7gp2-a,7goy-a,true,green
COCCN(C)CCCNC(=O)c1cc(CN2CCCCC2)on1,350564,3.364967,0.521525,2953,3254,6493,D68EV3C_iter1_knitwork_pure_split1000_batch003.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350564/C3254-P44,acceptable,expansion,None,FTXYGSXUURDKCD-UHFFFAOYSA-N,v120a,36,7gp2-a,7goy-a,true,green
O=C(NCCOC(F)F)c1cc(CN2CCCCC2)on1,350564,1.910402,0.751479,3069,3264,6499,D68EV3C_iter1_knitwork_pure_split1000_batch003.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350564/C3264-P44,acceptable,expansion,None,LBXRJYKIHOQRLN-UHFFFAOYSA-N,v126a,36,7gp2-a,7goy-a,true,green
CC(C)n1cc(CS(=O)(=O)CCNC(=O)Cc2ccon2)nn1,350565,4.73055,0.279059,3144,1708,6502,D68EV3C_iter1_knitwork_pure_split1000_batch004.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350565/C1708-P70,acceptable,expansion,None,BNTXOLUWLNJNAP-UHFFFAOYSA-N,v129a,36,7goy-a,7gpm-a,true,green
CCS(=O)(=O)NCc1ccc(N2CCCC2)cn1,350565,4.729953,0.807252,3411,1770,6503,D68EV3C_iter1_knitwork_pure_split1000_batch004.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350565/C1770-P53,acceptable,expansion,None,BENPSJZTLHJTBL-UHFFFAOYSA-N,v130a,36,7gp9-a,7gpf-a,true,green
CC(C)(CNC(=O)c1cc(CS(C)(=O)=O)on1)[C@H]1CCCN1,350564,8.712616,0.49465,4529,3495,6516,D68EV3C_iter1_knitwork_pure_split1000_batch003.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350564/C3495-P59,acceptable,expansion,None,JNRRWVFGILCLPY-GFCCVEGCSA-N,v143a,36,7gpf-a,7goy-a,true,green
