35
smiles,name,SLURM_JOB_ID,fragmenstein_runtime,score_inspiration,HIPPO Pose ID,HIPPO Compound ID,_id,csv_name,scratch_subdir,fragmenstein_outcome,fragmenstein_mode,fragmenstein_error,original ID,inspiration_1,inspiration_2,green,green-text,red,red-text
CC[S@](=O)(=NCc1cc(N2CC[C@@H](c3ccccc3)S2(=O)=O)n2cnnc2c1)NCc1ccc2c(c1)OCO2,v22b,350558,4.340658,0.717353,380,488,6397,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C488-P144,acceptable,expansion,None,KFJNKWVMMXQGKO-FKEHTHLJSA-N,7gp9-a,B0691a,,,true,red
CC[S@](=O)(=Nc1cc(Sc2nnc(-c3ccc[nH]3)o2)n2cnnc2c1)NCc1ccc2c(c1)OCO2,v25a,350558,2.787811,0.884295,409,490,6398,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C490-P148,acceptable,expansion,None,QKMHSSKDCKLSTK-PSXMRANNSA-N,7gp9-a,B0738a,,,true,red
CC[S@](=O)(=Nc1cc(Nc2n[nH]c(-c3ccccc3)n2)n2cnnc2c1)NCc1ccc2c(c1)OCO2,v26a,350558,6.060364,0.794385,417,491,6399,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C491-P13,acceptable,expansion,None,WVLCXBYYBBKDMZ-DIPNUNPCSA-N,7gp9-a,B0742a,,,true,red
CCC[C@@H](C=CC(=O)OCC)Cn1cc(CN(CC)S(=O)(=O)N2CCNCC2)nn1,v27a,350559,8.316072,0.676352,419,176,6400,D68EV3C_iter1_fstein_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350559/C176-P168,acceptable,expansion,None,MDRDNFHEYSIERZ-KRWDZBQOSA-N,B1020a,B1462a,,,true,red
CC[S@](=O)(=Nc1cc(Nc2n[nH]c(-c3ccccc3)n2)n2cnnc2c1)NCc1ccc2c(c1)OCO2,v26b,350558,5.076226,0.824099,426,491,6401,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C491-P150,acceptable,expansion,None,WVLCXBYYBBKDMZ-DIPNUNPCSA-N,7gp9-a,B0742a,,,true,red
CC[S@](=O)(=NCc1cc(N2CCC[C@H](c3ccccc3)S2(=O)=O)n2cnnc2c1)NCc1ccc2c(c1)OCO2,v29a,350558,8.60639,0.820662,454,492,6402,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C492-P152,acceptable,expansion,None,GGSNEERVTDVMAB-IWIKFHKFSA-N,7gp9-a,B0805a,,,true,red
CC[S@@H](=O)=Nn1c(Sc2cccc3nncn23)nc2cc3cc4c(cc3cc21)OCO4,v30a,350559,4.306089,0.719307,450,178,6403,D68EV3C_iter1_fstein_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350559/C178-P180,acceptable,expansion,None,KRPJRXCBIRLSTM-UHFFFAOYSA-N,7gp9-a,B1219a,,,true,red
CCS(=O)(=O)N[C@@H](NC[C@@H](N)c1ocnc1C(=O)Nc1c[nH]c(=O)c2ccccc12)c1ccc2c(c1)OCO2,v31a,350558,9.934688,0.693524,473,493,6404,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C493-P154,acceptable,expansion,None,RLOYLZZKMQZFCX-UZUQRXQVSA-N,7gp9-a,B0839a,,,true,red
C[C@H]1CCO[C@@H]1C(=O)c1ccc2nncn2c1Sc1nc2cc(F)ccc2[nH]1,v32a,350559,3.014469,0.755605,482,180,6405,D68EV3C_iter1_fstein_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350559/C180-P180,acceptable,expansion,None,RTJLOAFRGVVSCQ-BTDLBPIBSA-N,7gol-a,B1219a,true,green,,
CC[S@](=O)(=NCc1cc2nnc(N)n2cc1-c1cnccn1)NCc1ccc2c(c1)OCO2,v33a,350558,2.988236,0.720786,496,494,6406,D68EV3C_iter1_fstein_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350558/C494-P156,acceptable,expansion,None,MFUIOSQSBPZWTL-MGBGTMOVSA-N,7gp9-a,B0857a,,,true,red
