36
smiles,name,SLURM_JOB_ID,fragmenstein_runtime,score_inspiration,HIPPO Pose ID,HIPPO Compound ID,_id,csv_name,scratch_subdir,fragmenstein_outcome,fragmenstein_mode,fragmenstein_error,original ID,inspiration_1,inspiration_2,red,red-text,green,green-text
CNC(=O)CCCNC(=O)c1cc(CN2CCCCC2)on1,v121b,350564,3.00709,0.549838,3019,3259,6495,D68EV3C_iter1_knitwork_pure_split1000_batch003.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350564/C3259-P59,acceptable,expansion,None,DEPBGOBZKCJNEA-UHFFFAOYSA-N,7gp2-a,7goy-a,true,red,,
Cc1onc(C#N)c1N1CCCCC1,v123a,350564,1.417504,0.623606,3053,3262,6496,D68EV3C_iter1_knitwork_pure_split1000_batch003.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350564/C3262-P44,acceptable,expansion,None,DEOIIBYNEIYHKZ-UHFFFAOYSA-N,7gp2-a,7goy-a,true,red,,
Cc1onc(C#N)c1N1CCCCC1,v123b,350564,1.353787,0.611939,3057,3262,6497,D68EV3C_iter1_knitwork_pure_split1000_batch003.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350564/C3262-P59,acceptable,expansion,None,DEOIIBYNEIYHKZ-UHFFFAOYSA-N,7gp2-a,7goy-a,true,red,,
c1ccc2c(c1)ccn2CCNCc1c[nH]nc1-c1ccc2c(c1)OCO2,v125a,350563,2.316715,0.408163,3068,2312,6498,D68EV3C_iter1_knitwork_pure_split1000_batch002.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350563/C2312-P13,acceptable,expansion,None,WYZBNBVUTXHZAX-UHFFFAOYSA-N,7gp9-a,7gok-a,true,red,,
O=C(NCCOC(F)F)c1cc(CN2CCCCC2)on1,v126a,350564,1.910402,0.751479,3069,3264,6499,D68EV3C_iter1_knitwork_pure_split1000_batch003.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350564/C3264-P44,acceptable,expansion,None,LBXRJYKIHOQRLN-UHFFFAOYSA-N,7gp2-a,7goy-a,,,true,green
c1ccc2c(c1)ccn2CCNCc1c[nH]nc1-c1ccc2c(c1)OCO2,v125b,350563,1.830637,0.484533,3073,2312,6500,D68EV3C_iter1_knitwork_pure_split1000_batch002.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350563/C2312-P40,acceptable,expansion,None,WYZBNBVUTXHZAX-UHFFFAOYSA-N,7gp9-a,7gok-a,true,red,,
O=C(NCCOC(F)F)c1cc(CN2CCCCC2)on1,v126b,350564,2.354455,0.719217,3078,3264,6501,D68EV3C_iter1_knitwork_pure_split1000_batch003.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350564/C3264-P59,acceptable,expansion,None,LBXRJYKIHOQRLN-UHFFFAOYSA-N,7gp2-a,7goy-a,,,true,green
CC(C)n1cc(CS(=O)(=O)CCNC(=O)Cc2ccon2)nn1,v129a,350565,4.73055,0.279059,3144,1708,6502,D68EV3C_iter1_knitwork_pure_split1000_batch004.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350565/C1708-P70,acceptable,expansion,None,BNTXOLUWLNJNAP-UHFFFAOYSA-N,7goy-a,7gpm-a,true,red,,
CCS(=O)(=O)NCc1ccc(N2CCCC2)cn1,v130a,350565,4.729953,0.807252,3411,1770,6503,D68EV3C_iter1_knitwork_pure_split1000_batch004.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350565/C1770-P53,acceptable,expansion,None,BENPSJZTLHJTBL-UHFFFAOYSA-N,7gp9-a,7gpf-a,true,red,,
CCS(=O)(=O)NC[C@H]1CCN(S(=O)(=O)CC)C1,v131a,350565,2.225343,0.663695,3485,1781,6504,D68EV3C_iter1_knitwork_pure_split1000_batch004.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350565/C1781-P53,acceptable,expansion,None,QURMRKRULHMCEH-SECBINFHSA-N,7gp9-a,7gpf-a,true,red,,
c1c(C2CCNCC2)noc1CN1CCNCC1,v132a,350564,2.488175,0.481008,3582,3324,6505,D68EV3C_iter1_knitwork_pure_split1000_batch003.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350564/C3324-P59,acceptable,expansion,None,FOITVNVGRQLPMG-UHFFFAOYSA-N,7gp2-a,7goy-a,,,true,green
CCS(=O)(=O)NC[C@H]1CCN(S(C)(=O)=O)C1,v133a,350565,1.915716,0.715363,3605,1807,6506,D68EV3C_iter1_knitwork_pure_split1000_batch004.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350565/C1807-P53,acceptable,expansion,None,QSJLQFDQGYUYAC-MRVPVSSYSA-N,7gp9-a,7gpf-a,true,red,,
CCS(=O)(=O)NC[C@H]1CCN(CC(F)F)C1,v134a,350565,2.846397,0.764815,3638,1811,6507,D68EV3C_iter1_knitwork_pure_split1000_batch004.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350565/C1811-P53,acceptable,expansion,None,SUYQYCNUWSGNEK-MRVPVSSYSA-N,7gp9-a,7gpf-a,true,red,,
c1nc2n(n1)CCN(Cc1cc(C3CCNCC3)no1)C2,v135a,350564,3.197688,0.455293,3838,3360,6508,D68EV3C_iter1_knitwork_pure_split1000_batch003.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350564/C3360-P44,acceptable,expansion,None,XRJYMIJOWMWRJH-UHFFFAOYSA-N,7gp2-a,7goy-a,,,true,green
CC(C)c1cc(C(=O)NCC2CCSCC2)on1,v136a,350564,1.686091,0.55581,4230,3436,6509,D68EV3C_iter1_knitwork_pure_split1000_batch003.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350564/C3436-P59,acceptable,expansion,None,LRZDTRUHVFMNMK-UHFFFAOYSA-N,7goy-a,7gpm-a,true,red,,
CC(C)c1cc(C(=O)NCC2CCSCC2)on1,v136b,350564,2.103778,0.542355,4232,3436,6510,D68EV3C_iter1_knitwork_pure_split1000_batch003.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350564/C3436-P70,acceptable,expansion,None,LRZDTRUHVFMNMK-UHFFFAOYSA-N,7goy-a,7gpm-a,true,red,,
CC(C)c1cc(C(=O)NCC2CCSCC2)no1,v138a,350564,2.711648,0.538455,4342,3455,6511,D68EV3C_iter1_knitwork_pure_split1000_batch003.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350564/C3455-P70,acceptable,expansion,None,MGTRJZQYVKANNY-UHFFFAOYSA-N,7goy-a,7gpm-a,true,red,,
COCCC(=O)N[C@@H](C)CNC(=O)c1cc(C(C)C)no1,v139a,350564,3.678743,0.428099,4370,3463,6512,D68EV3C_iter1_knitwork_pure_split1000_batch003.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350564/C3463-P70,acceptable,expansion,None,AUFKXIGENGJTLJ-JTQLQIEISA-N,7goy-a,7gpm-a,true,red,,
COCCNC(=O)c1cc(C(C)C)no1,v140a,350564,1.158048,0.678937,4451,3477,6513,D68EV3C_iter1_knitwork_pure_split1000_batch003.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350564/C3477-P70,acceptable,expansion,None,WUIHGYWDCAMLRQ-UHFFFAOYSA-N,7goy-a,7gpm-a,true,red,,
CC(C)c1cc(C(=O)NCCOCC2CCC2)on1,v141a,350564,4.065798,0.55539,4461,3479,6514,D68EV3C_iter1_knitwork_pure_split1000_batch003.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350564/C3479-P70,acceptable,expansion,None,OICONHBQGYXEFI-UHFFFAOYSA-N,7goy-a,7gpm-a,true,red,,
CC(C)c1cc(CNCCF)on1,v142a,350564,0.902745,0.605145,4506,3490,6515,D68EV3C_iter1_knitwork_pure_split1000_batch003.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350564/C3490-P70,acceptable,expansion,None,PLPDVKBWCDGEQR-UHFFFAOYSA-N,7goy-a,7gpm-a,true,red,,
CC(C)(CNC(=O)c1cc(CS(C)(=O)=O)on1)[C@H]1CCCN1,v143a,350564,8.712616,0.49465,4529,3495,6516,D68EV3C_iter1_knitwork_pure_split1000_batch003.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350564/C3495-P59,acceptable,expansion,None,JNRRWVFGILCLPY-GFCCVEGCSA-N,7gpf-a,7goy-a,true,red,,
Cc1cc([C@H](CN)Cc2ccc3c(c2)OCO3)no1,v144a,350563,1.557991,0.649899,5415,2680,6517,D68EV3C_iter1_knitwork_pure_split1000_batch002.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350563/C2680-P59,acceptable,expansion,None,AURITXBPILSFGT-NSHDSACASA-N,7gp9-a,7goy-a,true,red,,
